Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
Corrientes,Santo Tome,103,2,71922
San Juan,Chimbas,103,2,103772
Buenos Aires,Balcarce,103,1,48516
Tucumán,Burruyacu,103,,45459
Salta,Anta,102,5,69442
Jujuy,El Carmen,101,4,122259
Catamarca,La Paz,101,2,26341
Chubut,Futaleufu,101,2,49965
Santiago del Estero,Choya,101,2,43692
Chaco,Quitilipi,100,3,32430
Mendoza,Tunuyan,100,3,59972
Misiones,Apostoles,100,1,50503
Tucumán,Chicligasta,100,1,92308
Chubut,Biedma,97,7,102806
Santiago del Estero,Robles,97,4,53879
Corrientes,Curuzu Cuatia,97,2,51489
Mendoza,Rivadavia,97,2,63589
Buenos Aires,Patagones,97,1,37499
Chaco,Maipu,97,,26354
La Pampa,Maraco,96,6,69067
Entre Ríos,Tala,96,2,31091
Buenos Aires,Chascomus,95,,42191
Formosa,Pilagas,95,,19089
Buenos Aires,Baradero,94,3,39223
Catamarca,Santa Maria,94,2,26822
Santiago del Estero,Loreto,94,1,24047
Buenos Aires,La Costa,93,6,100400
Buenos Aires,Coronel De Marina L Rosales,93,4,65823
Buenos Aires,Lobos,93,4,41418
Catamarca,Tinogasta,93,1,25254
Jujuy,Ledesma,92,4,94132
Buenos Aires,San Vicente,92,2,97929
Corrientes,Lavalle,92,1,40406
Córdoba,General Roca,91,5,36064
Tucumán,Yerba Buena,91,1,102589
Buenos Aires,General Villegas,90,5,35055
Buenos Aires,Villarino,90,4,32552
San Juan,Jachal,90,1,25269
Santa Fe,San Javier,88,3,33180
Santiago del Estero,General Taboada,87,3,46304
Buenos Aires,Saladillo,87,1,35423
Río Negro,Avellaneda,86,6,41160
Chaco,Chacabuco,86,3,34493
Tucumán,Lules,86,,93464
Tucumán,Monteros,85,5,77469
Santiago del Estero,Avellaneda,85,3,25462
Mendoza,Junin,84,3,46472
Chaco,O Higgins,84,1,21544
Santiago del Estero,Alberdi,84,1,20104
Corrientes,Mercedes,83,5,49807
Misiones,Montecarlo,83,4,38620
Córdoba,Presidente Roque Saenz Peña,83,3,37551
Buenos Aires,Marcos Paz,83,1,64761
Buenos Aires,San Andres De Giles,83,1,26399
San Juan,Pocito,83,1,72879
La Rioja,Chilecito,82,3,58681
Corrientes,Bella Vista,82,1,44369
Tucumán,Simoca,82,,36946
Chaco,9 De Julio,81,4,30223
Buenos Aires,General Alvarado,81,2,45307
Córdoba,Ischilin,81,2,36023
Mendoza,Santa Rosa,81,2,19379
Santiago del Estero,Jimenez,81,1,18622
Formosa,Laishi,80,2,19275
San Juan,Caucete,80,1,44017
Corrientes,Monte Caseros,79,7,45602
San Luis,Ayacucho,79,3,23653
Buenos Aires,Ayacucho,79,1,21757
Chaco,25 De Mayo,79,1,32606
Chubut,Cushamen,78,7,28099
Mendoza,Malargue,78,1,32596
Corrientes,Ituzaingo,77,1,38767
Corrientes,Concepcion,76,2,26270
Santiago del Estero,Juan F Ibarra,76,1,20567
Santa Fe,Belgrano,74,6,48544
Catamarca,Capayan,74,4,19471
Corrientes,General Paz,74,3,17016
Tucumán,Rio Chico,74,2,64927
Buenos Aires,Las Flores,74,1,27136
Buenos Aires,Ensenada,73,5,63978
Buenos Aires,Brandsen,73,3,32350
Buenos Aires,Loberia,73,2,18106
Corrientes,Paso De Los Libres,72,3,56778
Buenos Aires,Magdalena,72,1,22653
Córdoba,Tulumba,72,1,14092
Buenos Aires,Bragado,71,4,46227
Misiones,Candelaria,71,4,34945
Buenos Aires,Carlos Casares,71,3,22905
Chaco,Sargento Cabral,71,3,18696
Misiones,San Javier,71,2,23080
Buenos Aires,Mar Chiquita,71,1,32973
Chaco,12 De Octubre,71,1,23179
Corrientes,Saladas,71,1,29126
Córdoba,Rio Seco,70,1,15275
San Juan,Sarmiento,70,1,27188
Buenos Aires,Presidente Peron,70,,101994
Buenos Aires,General Juan Madariaga,69,1,22566
La Rioja,Rosario Vera Peñaloza,69,,15764
Jujuy,Humahuaca,68,2,20877
Entre Ríos,Islas Del Ibicuy,68,1,13984
Buenos Aires,Ramallo,67,4,39648
Buenos Aires,Navarro,67,2,19888
Buenos Aires,San Antonio De Areco,67,2,26695
Chaco,Independencia,67,,21948
Buenos Aires,Salto,66,2,39257
Neuquén,Zapala,65,2,45540
Santiago del Estero,Ojo De Agua,65,2,15008
Tucumán,Trancas,65,1,23438
San Juan,25 De Mayo,65,,20824
San Luis,Junin,64,7,40289
Chaco,General Donovan,64,2,15061
Buenos Aires,Coronel Pringles,64,1,24110
Buenos Aires,Rojas,64,1,25619
Corrientes,San Luis Del Palmar,64,1,21381
Santiago del Estero,Salavina,64,,12775
Buenos Aires,Adolfo Alsina,63,2,17344
Mendoza,Tupungato,63,1,41168
Tucumán,Graneros,63,1,15539
Córdoba,Totoral,63,,22473
Entre Ríos,Feliciano,63,,16717
Formosa,Matacos,63,,17017
Buenos Aires,Exaltacion De La Cruz,62,,40036
Jujuy,Yavi,61,2,25831
Buenos Aires,Arrecifes,61,1,32077
Río Negro,25 De Mayo,60,2,16555
Corrientes,Empedrado,60,1,17948
Santiago del Estero,Quebrachos,60,1,12336
Buenos Aires,Saavedra,59,3,21407
Catamarca,Andalgala,59,1,19545
San Juan,Santa Lucia,58,4,62697
Buenos Aires,Puan,58,3,16391
Buenos Aires,Rauch,58,2,16491
